2025-09-24 18:48:22 [INFO] Debug logging enabled. Writing logs to debug.out
2025-09-24 18:48:22 [INFO] Loaded Ansible filters: ['abs', 'attr', 'batch', 'capitalize', 'center', 'count', 'd', 'default', 'dictsort', 'e', 'escape', 'filesizeformat', 'first', 'float', 'forceescape', 'format', 'groupby', 'indent', 'int', 'join', 'last', 'length', 'list', 'lower', 'items', 'map', 'min', 'max', 'pprint', 'random', 'reject', 'rejectattr', 'replace', 'reverse', 'round', 'safe', 'select', 'selectattr', 'slice', 'sort', 'string', 'striptags', 'sum', 'title', 'trim', 'truncate', 'unique', 'upper', 'urlencode', 'urlize', 'wordcount', 'wordwrap', 'xmlattr', 'tojson', 'b64decode', 'b64encode', 'to_uuid', 'to_json', 'to_nice_json', 'from_json', 'to_yaml', 'to_nice_yaml', 'from_yaml', 'from_yaml_all', 'basename', 'dirname', 'expanduser', 'expandvars', 'path_join', 'realpath', 'relpath', 'splitext', 'win_basename', 'win_dirname', 'win_splitdrive', 'commonpath', 'normpath', 'fileglob', 'bool', 'to_datetime', 'strftime', 'quote', 'md5', 'sha1', 'checksum', 'password_hash', 'hash', 'regex_replace', 'regex_escape', 'regex_search', 'regex_findall', 'ternary', 'shuffle', 'mandatory', 'comment', 'type_debug', 'combine', 'extract', 'flatten', 'dict2items', 'items2dict', 'subelements', 'split']
2025-09-24 18:48:22 [WARNING] json_query not found, using fallback.
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:55 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:56 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:57 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:57 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:57 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:58 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:50:02 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:02 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:02 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:03 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:04 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:05 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:06 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:06 [DEBUG] Key pressed: key=left ctrl=False alt=False shift=False
2025-09-24 18:50:07 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:50:08 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:50:08 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:50:11 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:50:12 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:12 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:12 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:13 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:14 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:14 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:14 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:14 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:14 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:14 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:50:16 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:17 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:17 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:17 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:17 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:17 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:18 [DEBUG] Key pressed: key=delete ctrl=False alt=False shift=False
2025-09-24 18:50:20 [DEBUG] Key pressed: key=end ctrl=False alt=False shift=False
2025-09-24 18:50:39 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_model']
2025-09-24 18:50:46 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_user_dir']
2025-09-24 18:50:57 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_machine']
2025-09-24 18:50:59 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_machine']
2025-09-24 18:51:00 [DEBUG] Key pressed: key=right ctrl=False alt=False shift=False
2025-09-24 18:51:01 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:01 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_machine']
2025-09-24 18:51:01 [DEBUG] Key pressed: key=down ctrl=False alt=False shift=False
2025-09-24 18:51:01 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_machine']
2025-09-24 18:51:05 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:51:07 [DEBUG] Key pressed: key=down ctrl=False alt=False shift=False
2025-09-24 18:51:07 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:07 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:08 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:09 [DEBUG] Key pressed: key=down ctrl=False alt=False shift=False
2025-09-24 18:51:09 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_memfree_mb']
2025-09-24 18:51:10 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:10 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_machine']
2025-09-24 18:51:10 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:10 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_machine']
2025-09-24 18:51:10 [DEBUG] Key pressed: key=up ctrl=False alt=False shift=False
2025-09-24 18:51:10 [DEBUG] Node highlighted. Path: ['ansible_facts', 'ansible_lsb']
2025-09-24 18:51:11 [DEBUG] Key pressed: key=enter ctrl=False alt=False shift=False
